core-1             | 2024-06-19T19:23:09.488Z  INFO 1 --- [core] [nio-8082-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
core-1             | 2024-06-19T19:23:09.489Z  INFO 1 --- [core] [nio-8082-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
core-1             | 2024-06-19T19:23:09.490Z  INFO 1 --- [core] [nio-8082-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
core-1             | 2024-06-19T19:23:09.527Z  INFO 1 --- [core] [nio-8082-exec-1] o.o.h.core.controller.UserController     : start search by param П З
core-1             | 2024-06-19T19:23:09.533Z  INFO 1 --- [core] [nio-8082-exec-1] com.zaxxer.hikari.HikariDataSource       : slaveHikariPool - Starting...
haproxy            | [ALERT]    (8) : sendmsg()/writev() failed in logger #1: No such file or directory (errno=2)
core-1             | 2024-06-19T19:23:09.550Z  INFO 1 --- [core] [nio-8082-exec-1] com.zaxxer.hikari.pool.HikariPool        : slaveHikariPool - Added connection org.postgresql.jdbc.PgConnection@2158f8f3
core-1             | 2024-06-19T19:23:09.551Z  INFO 1 --- [core] [nio-8082-exec-1] com.zaxxer.hikari.HikariDataSource       : slaveHikariPool - Start completed.
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:09 +0000] "GET /user/search?first_name=%D0%9F&last_name=%D0%97 HTTP/1.1" 200 199017 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:09.741Z  INFO 1 --- [core] [nio-8082-exec-2] o.o.h.core.controller.UserController     : start search by param Е А
core-2             | 2024-06-19T19:23:09.755Z  INFO 1 --- [core] [nio-8083-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
core-2             | 2024-06-19T19:23:09.756Z  INFO 1 --- [core] [nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
core-2             | 2024-06-19T19:23:09.758Z  INFO 1 --- [core] [nio-8083-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
core-2             | 2024-06-19T19:23:09.808Z  INFO 1 --- [core] [nio-8083-exec-1] o.o.h.core.controller.UserController     : start search by param Л Л
core-2             | 2024-06-19T19:23:09.816Z  INFO 1 --- [core] [nio-8083-exec-1] com.zaxxer.hikari.HikariDataSource       : slaveHikariPool - Starting...
core-2             | 2024-06-19T19:23:09.829Z  INFO 1 --- [core] [nio-8083-exec-1] com.zaxxer.hikari.pool.HikariPool        : slaveHikariPool - Added connection org.postgresql.jdbc.PgConnection@19c731ea
core-2             | 2024-06-19T19:23:09.830Z  INFO 1 --- [core] [nio-8083-exec-1] com.zaxxer.hikari.HikariDataSource       : slaveHikariPool - Start completed.
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:09 +0000] "GET /user/search?first_name=%D0%95&last_name=%D0%90 HTTP/1.1" 200 852445 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:09.952Z  INFO 1 --- [core] [nio-8083-exec-2] o.o.h.core.controller.UserController     : start search by param Ж Б
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9B&last_name=%D0%9B HTTP/1.1" 200 156165 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%91 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.027Z  INFO 1 --- [core] [nio-8082-exec-3] o.o.h.core.controller.UserController     : start search by param Л З
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9B&last_name=%D0%97 HTTP/1.1" 200 120757 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.057Z  INFO 1 --- [core] [nio-8083-exec-3] o.o.h.core.controller.UserController     : start search by param Д Н
core-1             | 2024-06-19T19:23:10.143Z  INFO 1 --- [core] [nio-8082-exec-4] o.o.h.core.controller.UserController     : start search by param Л Е
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9B&last_name=%D0%95 HTTP/1.1" 200 128965 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.178Z  INFO 1 --- [core] [nio-8083-exec-4] o.o.h.core.controller.UserController     : start search by param Л П
core-1             | 2024-06-19T19:23:10.228Z  INFO 1 --- [core] [nio-8082-exec-5] o.o.h.core.controller.UserController     : start search by param Б Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%91&last_name=%D0%A2 HTTP/1.1" 200 24853 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%9D HTTP/1.1" 200 631823 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.291Z  INFO 1 --- [core] [nio-8083-exec-5] o.o.h.core.controller.UserController     : start search by param Е П
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9B&last_name=%D0%9F HTTP/1.1" 200 296303 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.305Z  INFO 1 --- [core] [nio-8082-exec-6] o.o.h.core.controller.UserController     : start search by param Н П
core-1             | 2024-06-19T19:23:10.357Z  INFO 1 --- [core] [nio-8082-exec-8] o.o.h.core.controller.UserController     : start search by param Ж Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%A2 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9D&last_name=%D0%9F HTTP/1.1" 200 375906 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.409Z  INFO 1 --- [core] [io-8082-exec-10] o.o.h.core.controller.UserController     : start search by param З А
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%97&last_name=%D0%90 HTTP/1.1" 200 75341 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%95&last_name=%D0%9F HTTP/1.1" 200 1059041 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.468Z  INFO 1 --- [core] [nio-8082-exec-7] o.o.h.core.controller.UserController     : start search by param И Н
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%98&last_name=%D0%9D HTTP/1.1" 200 316341 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.504Z  INFO 1 --- [core] [nio-8083-exec-6] o.o.h.core.controller.UserController     : start search by param М Л
core-2             | 2024-06-19T19:23:10.576Z  INFO 1 --- [core] [nio-8083-exec-7] o.o.h.core.controller.UserController     : start search by param М П
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9C&last_name=%D0%9B HTTP/1.1" 200 1189199 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.636Z  INFO 1 --- [core] [nio-8082-exec-9] o.o.h.core.controller.UserController     : start search by param В А
core-2             | 2024-06-19T19:23:10.678Z  INFO 1 --- [core] [nio-8083-exec-8] o.o.h.core.controller.UserController     : start search by param С З
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%92&last_name=%D0%90 HTTP/1.1" 200 1267426 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.730Z  INFO 1 --- [core] [nio-8083-exec-9] o.o.h.core.controller.UserController     : start search by param П Б
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%A1&last_name=%D0%97 HTTP/1.1" 200 361925 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
